t (s);roll (deg);TL (%);TR (%)
159943204;2.0200043;40.78;39.21
159953176;2.0099945;40.81;39.18
159963176;1.9900055;40.78;39.21
159973184;1.9700012;40.77;39.22
159983160;1.9600067;40.81;39.18
159993152;1.9400024;40.77;39.22
160003140;1.9400024;40.81;39.18
160013136;1.9299927;40.79;39.2
160023132;1.9199982;40.79;39.2
160033124;1.9199982;40.82;39.17
160043120;1.9199982;40.8;39.19
160053104;1.9199982;40.83;39.16
160063100;1.9199982;40.8;39.19
160073100;1.9299927;40.84;39.15
160083084;1.9299927;40.83;39.16
160093084;1.9299927;40.84;39.15
160103060;1.9400024;40.86;39.13
160113048;1.949997;40.86;39.13
160123048;1.9700012;40.89;39.1
160133044;1.9799957;40.89;39.1
160143028;2.0;40.9;39.09
160153032;2.0;40.87;39.12
160163012;2.0200043;40.93;39.06
160173024;2.0399933;40.93;39.06
160183028;2.0599976;40.94;39.05
160193020;2.0800018;40.95;39.04
160202988;2.0899963;40.94;39.05
160212984;2.119995;40.98;39.01
160222976;2.130005;40.95;39.04
160232972;2.149994;40.96;39.03
160242952;2.1600037;40.97;39.02
160252940;2.1799927;40.97;39.02
160262932;2.1799927;40.95;39.04
160272928;2.1900024;40.97;39.02
160282936;2.199997;40.97;39.02
160292920;2.2100067;40.97;39.02
160302896;2.2299957;41.0;38.99
160312916;2.2200012;40.93;39.06
160322892;2.2200012;40.92;39.07
160332880;2.2100067;40.91;39.08
160342872;2.1900024;40.89;39.1
160352864;2.1699982;40.86;39.13
160362864;2.1600037;40.86;39.13
160372864;2.130005;40.81;39.18
160382864;2.0899963;40.78;39.21
160392856;2.0599976;40.77;39.22
160402832;2.0200043;40.71;39.28
160412816;1.9900055;40.73;39.26
160422812;1.9299927;40.64;39.35
160432796;1.8899994;40.65;39.34
160442804;1.8399963;40.62;39.37
160452788;1.7799988;40.58;39.41
160462776;1.7299957;40.54;39.45
160472780;1.6600037;40.5;39.49
160482772;1.6000061;40.46;39.53
160492748;1.5299988;40.43;39.56
160502752;1.4600067;40.37;39.62
160512748;1.3699951;40.29;39.7
160522740;1.2899933;40.27;39.72
160532732;1.1900024;40.2;39.79
160542724;1.1000061;40.16;39.83
160552720;1.0099945;40.11;39.88
160563084;0.8999939;40.05;39.94
160572688;0.80000305;39.98;40.01
160582680;0.69000244;39.91;40.08
160592660;0.58000183;39.88;40.11
160602676;0.47000122;39.83;40.16
160612640;0.3600006;39.77;40.22
160622632;0.25;39.74;40.25
160632624;0.13000488;39.66;40.33
160642644;0.009994507;39.62;40.37
160652616;-0.1000061;39.55;40.44
160662604;-0.22000122;39.5;40.49
160672608;-0.33000183;39.49;40.5
160682612;-0.44999695;39.41;40.58
160692596;-0.55999756;39.39;40.6
160702576;-0.66999817;39.34;40.65
160712968;-0.7899933;39.3;40.69
160722584;-0.8999939;39.23;40.76
160732588;-1.0;39.22;40.77
160742568;-1.0899963;39.25;40.74
160752540;-1.1799927;39.17;40.82
160762528;-1.300003;39.06;40.93
160772536;-1.4600067;38.83;41.16
160782520;-1.7299957;38.36;41.63
160792504;-2.1100006;37.84;42.15
160802496;-2.5599976;37.38;42.61
160812876;-3.0800018;37.04;42.95
160822476;-3.630005;36.52;43.47
160832468;-4.2100067;36.28;43.71
160842464;-4.800003;35.99;44.0
160852464;-5.3899994;35.73;44.26
160862428;-6.0;35.4;44.59
160872428;-6.630005;35.05;44.94
160882440;-7.2700043;34.79;45.2
160892448;-7.8899994;34.57;45.42
160902424;-8.5;34.32;45.67
160912416;-9.080002;34.2;45.79
160922400;-9.630005;34.04;45.95
160932404;-10.160004;33.92;46.07
160942400;-10.639999;33.86;46.13
160952392;-11.110001;33.69;46.3
160962772;-11.550003;33.65;46.34
160972388;-11.979996;33.4;46.59
160982368;-12.389999;33.32;46.67
160992352;-12.779999;33.26;46.73
161002348;-13.139999;33.2;46.79
161012352;-13.460007;33.17;46.82
161022332;-13.7400055;33.2;46.79
161032332;-13.9900055;33.2;46.79
161042352;-14.199997;33.23;46.76
161052320;-14.389999;33.23;46.76
161062308;-14.550003;33.26;46.73
161072292;-14.679993;33.3;46.69
161082292;-14.779999;33.34;46.65
161092276;-14.850006;33.43;46.56
161102296;-14.889999;33.53;46.46
161112284;-14.899994;33.61;46.38
161122268;-14.860001;33.77;46.22
161132252;-14.789993;33.9;46.09
161142244;-14.699997;34.06;45.93
161152232;-14.559998;34.23;45.76
161162232;-14.410004;34.34;45.65
161172220;-14.229996;34.54;45.45
161182208;-14.020004;34.71;45.28
161192188;-13.789993;34.89;45.1
161202184;-13.520004;35.12;44.87
161212180;-13.229996;35.33;44.66
161222192;-12.889999;35.62;44.37
161232160;-12.539993;35.82;44.17
161242160;-12.160004;36.05;43.94
161252168;-11.770004;36.29;43.7
161262164;-11.350006;36.53;43.46
161272144;-10.919998;36.79;43.2
161282120;-10.449997;37.12;42.87
