t (µs);roll (deg);T_sample (µs)
50577104;-18,119995;9992,000
50587092;-19,36;9988,000
50597080;-20,210007;9988,000
50607056;-20,740005;9976,000
50617060;-21,050003;10004,000
50627052;-21,210007;9992,000
50637036;-21,259995;9984,000
50647036;-21,199997;10000,000
50657020;-21,020004;9984,000
50667012;-20,630005;9992,000
50677008;-19,979996;9996,000
50686996;-18,940002;9988,000
50696976;-17,419998;9980,000
50706992;-15,419998;10016,000
50716972;-12,940002;9980,000
50726992;-10,039993;10020,000
50736980;-6,7899933;9988,000
50746964;-3,2599945;9984,000
50756956;0,44000244;9992,000
50766924;4,1900024;9968,000
50776944;7,9299927;10020,000
50786940;11,580002;9996,000
50796920;15,110001;9980,000
50806908;18,509995;9988,000
50816904;21,809998;9996,000
50826888;24,940002;9984,000
50836884;27,789993;9996,000
50846876;30,270004;9992,000
50856864;32,300003;9988,000
50866840;33,869995;9976,000
50876860;34,97;10020,000
50886836;35,600006;9976,000
50896824;35,78;9988,000
50906812;35,53;9988,000
50916768;34,869995;9956,000
50926768;33,820007;10000,000
50936760;32,399994;9992,000
50946772;30,539993;10012,000
50956764;28,240005;9992,000
50966756;25,580002;9992,000
50976744;22,619995;9988,000
50986744;19,440002;10000,000
50996744;16,100006;10000,000
51006716;12,660004;9972,000
51016724;9,139999;10008,000
51026692;5,6100006;9968,000
51036708;2,1399994;10016,000
51046688;-1,2100067;9980,000
51056672;-4,3399963;9984,000
51066680;-7,1600037;10008,000
51076676;-9,610001;9996,000
51086664;-11,630005;9988,000
51096652;-13,2599945;9988,000
51106656;-14,539993;10004,000
51116640;-15,5;9984,000
51126624;-16,179993;9984,000
51136608;-16,669998;9984,000
51146596;-17,050003;9988,000
51156596;-17,36;10000,000
51166592;-17,619995;9996,000
51176580;-17,800003;9988,000
51186564;-17,89;9984,000
51196560;-17,869995;9996,000
51206560;-17,729996;10000,000
51216540;-17,449997;9980,000
51226540;-17,020004;10000,000
51236524;-16,339996;9984,000
51246524;-15,339996;10000,000
51256500;-13,889999;9976,000
51266512;-11,929993;10012,000
51276488;-9,470001;9976,000
51286480;-6,600006;9992,000
51296472;-3,4199982;9992,000
51306488;-0,02999878;10016,000
51316464;3,4600067;9976,000
51326448;6,850006;9984,000
51336440;10,029999;9992,000
51346436;12,949997;9996,000
51356412;15,559998;9976,000
51366420;17,880005;10008,000
51376400;19,949997;9980,000
51386404;21,839996;10004,000
51396400;23,619995;9996,000
51406380;25,25;9980,000
51416384;26,679993;10004,000
51426372;27,850006;9988,000
51436364;28,710007;9992,000
51446376;29,14;10012,000
51456356;29,100006;9980,000
51466324;28,559998;9968,000
51476308;27,449997;9984,000
51486296;25,800003;9988,000
