t (s);roll (deg);TL (%);TR (%)
82673204;-15.229996;36.93;43.06
82683176;-14.220001;37.43;42.56
82693176;-13.190002;37.95;42.04
82703180;-12.119995;38.49;41.5
82713152;-11.039993;39.03;40.96
82723148;-9.919998;39.58;40.41
82733144;-8.789993;40.12;39.87
82743148;-7.630005;40.69;39.3
82753136;-6.449997;41.22;38.77
82763108;-5.2700043;41.77;38.22
82773096;-4.0700073;42.29;37.7
82783084;-2.880005;42.77;37.22
82793108;-1.6900024;43.26;36.73
82803100;-0.47999573;43.83;36.16
82813088;0.7299957;44.33;35.66
82823064;1.9400024;44.84;35.15
82833052;3.149994;45.36;34.63
82843040;4.350006;45.82;34.17
82853040;5.5599976;46.33;33.66
82863040;6.7400055;46.73;33.26
82873040;7.899994;47.17;32.82
82883052;9.029999;47.53;32.46
82893024;10.149994;47.97;32.02
82903016;11.2400055;48.33;31.66
82913012;12.330002;48.77;31.22
82922996;13.380005;49.05;30.94
82932996;14.389999;49.38;30.61
82942996;15.369995;49.67;30.32
82952972;16.330002;49.99;30.0
82962988;17.229996;50.17;29.82
82972968;18.080002;50.39;29.6
82982960;18.899994;50.61;29.38
82992952;19.679993;50.78;29.21
83002952;20.399994;50.9;29.09
83012936;21.070007;51.01;28.98
83022912;21.699997;51.17;28.82
83032924;22.279999;51.2;28.79
83042888;22.789993;51.21;28.78
83052896;23.259995;51.23;28.76
83062888;23.649994;51.17;28.82
83072876;23.990005;51.15;28.84
83082856;24.279999;51.06;28.93
83092848;24.479996;50.89;29.1
83102828;24.580002;50.54;29.45
83112828;24.509995;50.0;29.99
83122804;24.330002;49.52;30.47
83132808;24.059998;49.13;30.86
83142796;23.729996;48.77;31.22
83152808;23.330002;48.39;31.6
83162784;22.86;47.97;32.02
83172784;22.330002;47.54;32.45
83182764;21.740005;47.07;32.92
83192760;21.11;46.68;33.31
83202772;20.440002;46.27;33.72
83212772;19.720001;45.81;34.18
83222752;18.949997;45.32;34.67
83232744;18.119995;44.81;35.18
83242724;17.270004;44.33;35.66
83252732;16.36;43.8;36.19
83262732;15.389999;43.17;36.82
83272744;14.399994;42.68;37.31
83282704;13.360001;42.09;37.9
83292712;12.279999;41.54;38.45
83302696;11.190002;41.02;38.97
83312688;10.080002;40.49;39.5
83322688;8.949997;39.97;40.02
83332668;7.7899933;39.35;40.64
83342648;6.600006;38.77;41.22
83352628;5.3899994;38.2;41.79
83362632;4.169998;37.66;42.33
83372632;2.9299927;37.12;42.87
83382636;1.6799927;36.51;43.48
83392628;0.41999817;35.98;44.01
83402616;-0.83999634;35.45;44.54
83412616;-2.0899963;34.93;45.06
83422592;-3.350006;34.41;45.58
83432576;-4.5899963;33.95;46.04
83442568;-5.830002;33.44;46.55
83452568;-7.0599976;32.95;47.04
83462580;-8.279999;32.47;47.52
83472564;-9.4900055;32.0;47.99
83482560;-10.679993;31.58;48.41
83492568;-11.839996;31.21;48.78
83502544;-12.979996;30.78;49.21
83512532;-14.100006;30.39;49.6
83522508;-15.169998;30.08;49.91
83532504;-16.210007;29.78;50.21
83542504;-17.210007;29.5;50.49
83552488;-18.179993;29.18;50.81
83562476;-19.089996;29.01;50.98
83572484;-19.960007;28.79;51.2
83582468;-20.779999;28.58;51.41
83592448;-21.550003;28.45;51.54
83602440;-22.279999;28.3;51.69
83612448;-22.940002;28.22;51.77
83622448;-23.539993;28.21;51.78
83632444;-24.080002;28.15;51.84
83642408;-24.570007;28.12;51.87
83652396;-25.0;28.15;51.84
83662412;-25.369995;28.17;51.82
83672396;-25.690002;28.24;51.75
83682388;-25.949997;28.32;51.67
83692376;-26.14;28.46;51.53
83702380;-26.270004;28.62;51.37
83712360;-26.339996;28.79;51.2
83722376;-26.339996;29.02;50.97
83732372;-26.270004;29.29;50.7
83742348;-26.149994;29.51;50.48
83752336;-25.970001;29.79;50.2
83762312;-25.720001;30.11;49.88
83772328;-25.410004;30.44;49.55
83782308;-25.029999;30.83;49.16
83792304;-24.600006;31.17;48.82
83802280;-24.119995;31.56;48.43
83812280;-23.589996;31.95;48.04
83822280;-22.990005;32.41;47.58
83832264;-22.350006;32.83;47.16
83842280;-21.649994;33.29;46.7
83852260;-20.899994;33.79;46.2
83862248;-20.100006;34.3;45.69
83872260;-19.240005;34.82;45.17
83882236;-18.350006;35.34;44.65
83892248;-17.419998;35.82;44.17
83902236;-16.440002;36.43;43.56
83912236;-15.429993;36.93;43.06
83922216;-14.369995;37.55;42.44
83932204;-13.300003;38.02;41.97
83942596;-12.199997;38.45;41.54
83952188;-11.070007;39.32;40.67
83962192;-9.910004;39.72;40.27
83972188;-8.720001;40.34;39.65
83982196;-7.5200043;40.85;39.14
83992172;-6.2899933;41.47;38.52
84002140;-5.0599976;42.02;37.97
84012132;-3.8300018;42.49;37.5
84022132;-2.5899963;43.05;36.94
84032144;-1.3399963;43.6;36.39
84042144;-0.08999634;44.14;35.85
84052112;1.1499939;44.62;35.37
84062092;2.399994;45.16;34.83
84072092;3.6399994;45.65;34.34
84082080;4.869995;46.14;33.85
84092068;6.0899963;46.6;33.39
84102072;7.2899933;47.05;32.94
84112068;8.479996;47.48;32.51
84122068;9.649994;47.94;32.05
84132064;10.820007;48.38;31.61
84142048;11.929993;48.68;31.31
84152032;13.029999;49.12;30.87
84162040;14.110001;49.45;30.54
84172024;15.149994;49.77;30.22
84182036;16.14;50.03;29.96
84192028;17.100006;50.32;29.67
84201992;18.029999;50.62;29.37
84212400;18.910004;50.71;29.28
84221992;19.740005;51.1;28.89
84231976;20.539993;51.22;28.77
84241972;21.300003;51.41;28.58
84251968;22.009995;51.53;28.46
84261940;22.649994;51.59;28.4
84271960;23.259995;51.71;28.28
84281940;23.800003;51.72;28.27
84291924;24.279999;51.72;28.27
84301912;24.64;51.47;28.52
84311896;24.710007;50.53;29.46
84321880;24.449997;49.32;30.67
84331872;24.080002;48.77;31.22
84341860;23.649994;48.42;31.57
84351856;23.160004;48.02;31.97
84361848;22.589996;47.53;32.46
84371848;21.949997;47.0;32.99
84381856;21.229996;46.45;33.54
84391828;20.479996;46.01;33.98
84401824;19.679993;45.53;34.46
84411828;18.850006;45.1;34.89
84421812;18.009995;44.7;35.29
84431804;17.149994;44.27;35.72
84441804;16.240005;43.73;36.26
84451812;15.300003;43.24;36.75
84461792;14.289993;42.59;37.4
84471772;13.2400055;42.01;37.98
84481768;12.160004;41.45;38.54
84492160;11.050003;41.03;38.96
84501772;9.919998;40.23;39.76
84511760;8.800003;39.92;40.07
84521744;7.6600037;39.39;40.6
84531752;6.5099945;38.87;41.12
84541720;5.350006;38.34;41.65
84551704;4.169998;37.79;42.2
84561704;2.9400024;37.14;42.85
84571704;1.699997;36.58;43.41
84581708;0.44999695;36.02;43.97
84591704;-0.7799988;35.56;44.43
84601700;-2.0;35.08;44.91
84611664;-3.2200012;34.58;45.41
84621668;-4.419998;34.14;45.85
84631660;-5.6100006;33.69;46.3
84641652;-6.800003;33.21;46.78
84651648;-7.9799957;32.74;47.25
84661640;-9.139999;32.3;47.69
84671620;-10.279999;31.92;48.07
84681624;-11.380005;31.61;48.38
84691616;-12.440002;31.25;48.74
84701616;-13.4900055;30.89;49.1
84711600;-14.4900055;30.61;49.38
84721588;-15.449997;30.37;49.62
84731596;-16.39;30.04;49.95
84741576;-17.309998;29.72;50.27
84751552;-18.169998;29.53;50.46
84761556;-19.0;29.33;50.66
84771544;-19.789993;29.11;50.88
84781540;-20.539993;28.96;51.03
84791528;-21.229996;28.83;51.16
84801516;-21.880005;28.72;51.27
84811920;-22.470001;28.74;51.25
84821504;-23.0;28.57;51.42
84831480;-23.479996;28.6;51.39
84841468;-23.910004;28.6;51.39
84851472;-24.289993;28.59;51.4
84861476;-24.61;28.68;51.31
84871456;-24.880005;28.75;51.24
84881464;-25.070007;28.9;51.09
84891456;-25.190002;29.1;50.89
84901452;-25.259995;29.25;50.74
84911456;-25.270004;29.43;50.56
84921452;-25.220001;29.66;50.33
84931436;-25.119995;29.87;50.12
84941424;-24.949997;30.16;49.83
84951408;-24.720001;30.46;49.53
84961404;-24.440002;30.75;49.24
84971396;-24.100006;31.1;48.89
84981396;-23.710007;31.43;48.56
84991376;-23.259995;31.8;48.19
85001356;-22.759995;32.2;47.79
85011344;-22.210007;32.58;47.41
85021340;-21.61;32.99;47.0
85031364;-20.949997;33.44;46.55
85041328;-20.270004;33.83;46.16
85051348;-19.539993;34.27;45.72
85061328;-18.759995;34.8;45.19
85071328;-17.949997;35.24;44.75
85081332;-17.089996;35.72;44.27
85091316;-16.210007;36.19;43.8
85101308;-15.289993;36.69;43.3
85111692;-14.339996;37.06;42.93
85121292;-13.360001;37.84;42.15
85131276;-12.350006;38.23;41.76
85141260;-11.309998;38.75;41.24
85151260;-10.25;39.27;40.72
85161256;-9.169998;39.78;40.21
85171260;-8.050003;40.39;39.6
85181628;-6.9100037;40.75;39.24
85191240;-5.779999;41.53;38.46
85201212;-4.619995;41.95;38.04
85211192;-3.449997;42.46;37.53
85221212;-2.2799988;42.93;37.06
85231212;-1.1199951;43.42;36.57
85241216;0.05999756;43.95;36.04
85251184;1.2400055;44.44;35.55
85261172;2.399994;44.88;35.11
85271548;3.5599976;45.21;34.78
85281152;4.720001;46.0;33.99
85291140;5.869995;46.28;33.71
85301136;7.0;46.67;33.32
85311536;8.119995;46.97;33.02
85321140;9.229996;47.68;32.31
85331136;10.309998;47.9;32.09
85341120;11.360001;48.24;31.75
85351104;12.399994;48.65;31.34
85361096;13.410004;48.96;31.03
85371108;14.399994;49.27;30.72
85381084;15.360001;49.6;30.39
85391080;16.259995;49.79;30.2
85401080;17.14;50.08;29.91
85411084;17.990005;50.33;29.66
85421072;18.800003;50.51;29.48
85431064;19.550003;50.67;29.32
85441048;20.270004;50.84;29.15
85451032;20.949997;50.99;29.0
85461020;21.559998;51.03;28.96
85471016;22.14;51.15;28.84
85481012;22.669998;51.21;28.78
85491004;23.130005;51.18;28.81
85500988;23.559998;51.24;28.75
85510984;23.919998;51.16;28.83
85520996;24.220001;51.07;28.92
85530952;24.440002;50.92;29.07
85540952;24.520004;50.49;29.5
85550940;24.440002;49.89;30.1
85560924;24.229996;49.39;30.6
85570916;23.929993;48.99;31.0
85580908;23.570007;48.62;31.37
85590892;23.149994;48.24;31.75
85600892;22.669998;47.82;32.17
85610908;22.130005;47.43;32.56
85620872;21.529999;46.98;33.01
85630892;20.899994;46.58;33.41
85640876;20.220001;46.14;33.85
85651268;19.509995;45.86;34.13
85660856;18.75;45.16;34.83
